provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
Mullvad,136557,HOST-AS-AP Host Universal Pty Ltd,1,Australia,lt-50,7,95.0,VPN-Infrastructure-Atlas
ProtonVPN,209103,PROTONVPN,1,Switzerland,lt-50,4,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,Canada,lt-50,12,95.0,VPN-Infrastructure-Atlas
Surfshark,203020,HOSTROYALE,10,Brazil; Cyprus; Estonia; Spain; France; Luxembourg; Malta; Portugal; United Kingdom; United States,lt-50,12,95.0,VPN-Infrastructure-Atlas
TunnelBear,45179,SITEHOST-AS-AP SiteHost New Zealand,1,New Zealand,lt-50,1,95.0,VPN-Infrastructure-Atlas
VPN Unlimited,46450,PILOT,1,United States,lt-50,2,70.0,VPN-Infrastructure-Atlas
VPN.ac,9009,M247,1,Romania,lt-50,17,95.0,VPN-Infrastructure-Atlas
WLVPN,13213,UK2NET-AS,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
WiTopia,27411,LEASEWEB-USA-CHI,1,United States,lt-50,7,95.0,VPN-Infrastructure-Atlas
WiTopia,48011,DIGITURUNC,1,Türkiye,lt-50,1,95.0,VPN-Infrastructure-Atlas
WiTopia,63018,DEDICATED,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
Astrill,18779,EGIHOSTING,1,United States,lt-50,4,78.0,VPN-Infrastructure-Atlas
AzireVPN,60068,CDN77 _,1,United Kingdom,lt-50,19,95.0,VPN-Infrastructure-Atlas
CyberGhost,43289,TRABIA,1,Moldova,lt-50,3,72.6,VPN-Infrastructure-Atlas
