provider,country,observed_records_bucket,prefix_count,asn_count,hosting_record_bucket,avg_confidence,data_origin
Zoogvpn,Canada,lt-50,14,3,lt-50,78.0,VPN-Infrastructure-Atlas
Anonine,Sweden,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Netherlands,lt-50,12,1,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Hong Kong,lt-50,5,4,lt-50,78.0,VPN-Infrastructure-Atlas
CyberGhost,Germany,lt-50,6,1,lt-50,71.9,VPN-Infrastructure-Atlas
EasyHideIP,France,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
FlowVPN,Singapore,lt-50,5,4,lt-50,70.0,VPN-Infrastructure-Atlas
FrootVPN,France,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
KevinVPN,United States,lt-50,11,8,lt-50,70.0,VPN-Infrastructure-Atlas
Kompot VPN,Panama,lt-50,2,1,lt-50,70.0,VPN-Infrastructure-Atlas
NetShade,France,lt-50,13,1,lt-50,95.0,VPN-Infrastructure-Atlas
ProtonVPN,Estonia,lt-50,11,1,lt-50,95.0,VPN-Infrastructure-Atlas
RedShield VPN,United States,lt-50,5,3,lt-50,95.0,VPN-Infrastructure-Atlas
Riseup VPN,France,lt-50,11,1,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Vietnam,lt-50,4,3,lt-50,95.0,VPN-Infrastructure-Atlas
Smartdnsproxy,United States,lt-50,13,7,lt-50,78.0,VPN-Infrastructure-Atlas
VPN.ac,France,lt-50,6,2,lt-50,95.0,VPN-Infrastructure-Atlas
AirVPN,New Zealand,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,France,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,France,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
FastestVPN,United States,lt-50,10,5,lt-50,95.0,VPN-Infrastructure-Atlas
GhostPath,United Kingdom,lt-50,11,7,lt-50,88.0,VPN-Infrastructure-Atlas
Mullvad,Norway,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
Private Internet Access,Sweden,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
PrivateVPN,India,lt-50,10,2,lt-50,88.0,VPN-Infrastructure-Atlas
RedShield VPN,United Kingdom,lt-50,12,1,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Cyprus,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Thailand,lt-50,4,3,lt-50,95.0,VPN-Infrastructure-Atlas
WorldVPN,Netherlands,lt-50,8,4,lt-50,88.0,VPN-Infrastructure-Atlas
Zoogvpn,United States,lt-50,10,6,lt-50,78.0,VPN-Infrastructure-Atlas
Anonine,Germany,lt-50,6,1,lt-50,95.0,VPN-Infrastructure-Atlas
AzireVPN,Sweden,lt-50,7,2,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Germany,lt-50,6,1,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,Kenya,lt-50,1,1,lt-50,72.3,VPN-Infrastructure-Atlas
EasyHideIP,Germany,lt-50,6,1,lt-50,95.0,VPN-Infrastructure-Atlas
ExpressVPN,Romania,lt-50,6,1,lt-50,70.0,VPN-Infrastructure-Atlas
FastestVPN,Canada,lt-50,4,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Germany,lt-50,6,1,lt-50,95.0,VPN-Infrastructure-Atlas
HideIPVPN,France,lt-50,11,1,lt-50,70.0,VPN-Infrastructure-Atlas
IPVanish,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Ivacy,Australia,lt-50,6,3,lt-50,95.0,VPN-Infrastructure-Atlas
Proxpn,United States,lt-50,10,2,lt-50,78.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Australia,lt-50,10,6,lt-50,95.0,VPN-Infrastructure-Atlas
WLVPN,Malaysia,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
uVPN,United States,lt-50,11,2,lt-50,70.0,VPN-Infrastructure-Atlas
Anonine,Israel,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Netherlands,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,Canada,lt-50,9,2,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,South Korea,lt-50,3,2,lt-50,78.0,VPN-Infrastructure-Atlas
BoxPN,Israel,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
BoxPN,Netherlands,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
CyberGhost,North Macedonia,lt-50,1,1,lt-50,72.5,VPN-Infrastructure-Atlas
EasyHideIP,Israel,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
EasyHideIP,Netherlands,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
FreeVPN,United States,lt-50,10,3,lt-50,88.0,VPN-Infrastructure-Atlas
Froot,Sweden,lt-50,1,1,lt-50,78.0,VPN-Infrastructure-Atlas
FrootVPN,Israel,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Netherlands,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
FrootVPN,Sweden,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,Japan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
IPVanish,Moldova,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
KeyDrop,Russia,lt-50,10,6,lt-50,70.0,VPN-Infrastructure-Atlas
Private Internet Access,Germany,lt-50,4,2,lt-50,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,Estonia,lt-50,7,3,lt-50,95.0,VPN-Infrastructure-Atlas
StrongVPN,Canada,lt-50,3,1,lt-50,86.0,VPN-Infrastructure-Atlas
Surfshark,Australia,lt-50,9,3,lt-50,95.0,VPN-Infrastructure-Atlas
SwitchVPN,Hong Kong,lt-50,1,1,lt-50,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,Slovenia,lt-50,4,2,lt-50,70.0,VPN-Infrastructure-Atlas
VPN.ac,Australia,lt-50,3,1,lt-50,95.0,VPN-Infrastructure-Atlas
VPN.ac,Canada,lt-50,4,3,lt-50,95.0,VPN-Infrastructure-Atlas
VPNObratno,Russia,lt-50,10,5,lt-50,88.0,VPN-Infrastructure-Atlas
VPNSecure,Canada,lt-50,10,1,lt-50,88.0,VPN-Infrastructure-Atlas
Vpnht,Romania,lt-50,1,0,lt-50,78.0,VPN-Infrastructure-Atlas
WLVPN,Costa Rica,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WLVPN,Japan,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WLVPN,Moldova,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
WiTopia,India,lt-50,2,2,lt-50,95.0,VPN-Infrastructure-Atlas
Windscribe,Brazil,lt-50,3,2,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Spain,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
Anonine,Poland,lt-50,2,1,lt-50,95.0,VPN-Infrastructure-Atlas
Astrill,Malaysia,lt-50,2,2,lt-50,78.0,VPN-Infrastructure-Atlas
BoxPN,Spain,lt-50,1,1,lt-50,95.0,VPN-Infrastructure-Atlas
